Task;Poço Recolhido;Duração Recolhimento;Escopo;Anuência;Plataforma;"Data lançamento linha
Informado ao Ibama";Restrição Precedente;Poço Demandante;Data Limite para recolhimento;Recurso;Início PLSV;Término PLSV;"Conflito
Precedência";Conflito Sucessão;Folga;Peso;Folga
1;7-MRL-150HP-RJS;37,4;Recolhimento;Emitida em 13/12/2021;P-37;23/10/2022;26/04/2022;7-MRL-156HP-RJS;30/10/2022;PLSV1;28/04/2022;04/06/2022;;;148;113,02474;149,60
2;8-MLS-81HP-RJS;12,3;Recolhimento;Emitida em 13/12/2021;P-37;13/11/2022;10/05/2022;7-MRL-156HP-RJS;30/10/2022;PLSV1;05/06/2022;17/06/2022;;;134;170,97275;160,70
3;7-MRL-138HP-RJS;11,4;Recolhimento;2ª Carta até 10/abr;P-37;13/11/2022;10/05/2022;7-MRL-156HP-RJS;30/10/2022;PLSV1;18/06/2022;30/06/2022;;;122;116,6778;161,60
4;7-MLS-51HP-RJS;15,1;Recolhimento;2ª Carta até 10/abr;P-37;13/11/2022;04/10/2019;7-MRL-156HP-RJS;30/10/2022;PLSV1;01/07/2022;16/07/2022;;;106;193,13478;1106,90
5;7-MRL-156HP-RJS;7;Remanejamento;;P-37;13/11/2022;04/06/2022;7-MRL-156HP-RJS;30/10/2022;PLSV1;17/07/2022;24/07/2022;;;98;126,32934;141,00
6;8-VD-7HPA-RJS;3;Remanejamento;;P-27;17/04/2023;24/07/2022;MIS-PLEM-Y;09/10/2022;PLSV1;25/07/2022;28/07/2022;;;73;159,11025;74,00
7;7-MRL-64D-RJS;12,4;Recolhimento;;P-35;27/10/2023;19/08/2020;PLEM-Y-UEP2;09/12/2022;PLSV1;29/07/2022;10/08/2022;;;121;211,50568;829,60
8;7-MRL-167HP-RJS;19,5;Recolhimento;Emitida em 13/12/2021;P-26;23/11/2022;31/12/2021;7-MRL-167HP-RJS;22/12/2022;PLSV1;11/08/2022;31/08/2022;;;113;229,31594;336,50
9;7-MRL-103-RJS;12,2;Remanejamento;;P-37;08/12/2022;05/09/2022;7-MRL-103-RJS;14/11/2022;PLSV1;01/09/2022;13/09/2022;Precedente;;62;82,06399623;57,80
10;7-MRL-102H-RJS;8;Remanejamento;;P-35;14/03/2023;03/04/2021;7-MRL-102H-RJS;11/01/2023;PLSV1;14/09/2022;22/09/2022;;;111;119,67616;640,00
11;GA_P-26/P-35;3,5;Recolhimento;Emitida em 13/12/2021;P-26;28/01/2023;31/12/2021;7-MRL-210HPA-RJS;17/01/2023;PLSV1;23/09/2022;26/09/2022;;;113;719,47749;378,50
12;7-MRL-223HP-RJS;15,5;Recolhimento;Emitida em 13/12/2021;P-26;23/11/2022;31/12/2021;7-MRL-223HP-RJS;01/03/2023;PLSV1;27/09/2022;13/10/2022;;;139;252,50999;409,50
13;7-MRL-24D-RJS;24,3;Recolhimento;4ª carta até 31/mar;P-18;07/06/2023;07/10/2011;7-MRL-145H-RJS;30/03/2023;PLSV1;14/10/2022;07/11/2022;;;142;277,26428;4167,70
14;7-MRL-194HP-RJS;18,4;Recolhimento;Emitida em 13/12/2021;P-26;21/05/2023;31/12/2021;MSP-M2-01;30/03/2023;PLSV1;08/11/2022;26/11/2022;;;124;297,69657;435,60
15;7-MRL-60D-RJS;28;Recolhimento;2ª Carta até 10/abr;P-26;21/05/2023;10/05/2022;MSP-M2-01;30/03/2023;PLSV1;27/11/2022;25/12/2022;;;95;278,9544;296,00
16;7-MRL-210HPA-RJS;7,5;Remanejamento;;P-18;08/02/2023;31/12/2022;7-MRL-210HPA-RJS;17/01/2023;PLSV1;26/12/2022;03/01/2023;Precedente;;14;217,72218;9,50
